,ANA1_instrbk_1,ANA1_shock_1,ANA1_shock_2,ANA1_shock_3,ANA1_shock_4,ANA1_shock_5,ANA1_shock_6,ANA1_shock_7,ANA1_shock_8,ANA1_shock_9,ANA2_instrbk_1,ANA2_shock_10,ANA2_shock_11,ANA2_shock_12,ANA2_shock_13,ANA2_shock_14,ANA2_shock_15,ANA2_shock_16,ANA2_shock_17,ANA2_shock_18,N_ANA1_instrbk_1,N_ANA1_shock_1,N_ANA1_shock_2,N_ANA1_shock_3,N_ANA1_shock_4,N_ANA1_shock_5,N_ANA1_shock_6,N_ANA2_instrbk_1,N_ANA2_shock_10,N_ANA2_shock_11,N_ANA2_shock_12,N_ANA2_shock_7,N_ANA2_shock_8,N_ANA2_shock_9,N_ANA3_instrbk_1,N_ANA3_shock_13,N_ANA3_shock_14,N_ANA3_shock_15,N_ANA3_shock_16,N_ANA3_shock_17,N_ANA3_shock_18,reg0,reg1,reg2,reg3,reg4,reg5,reg6,reg7,drift_1,drift_2,drift_3,drift_4,drift_5,drift_6,drift_7,drift_8,drift_9,drift_10,drift_11,drift_12,drift_13,drift_14,drift_15,drift_16,drift_17,drift_18,drift_19,drift_20,drift_21,drift_22,constant,HYPER1_instrbk_1,HYPER1_shock_1,HYPER1_shock_2,HYPER1_shock_3,HYPER1_shock_4,HYPER1_shock_5,HYPER1_shock_6,HYPER1_shock_7,HYPER1_shock_8,HYPER1_shock_9,HYPER2_instrbk_1,HYPER2_shock_10,HYPER2_shock_11,HYPER2_shock_12,HYPER2_shock_13,HYPER2_shock_14,HYPER2_shock_15,HYPER2_shock_16,HYPER2_shock_17,HYPER2_shock_18,N_HYPER1_instrbk_1,N_HYPER1_shock_1,N_HYPER1_shock_2,N_HYPER1_shock_3,N_HYPER1_shock_4,N_HYPER1_shock_5,N_HYPER1_shock_6,N_HYPER2_instrbk_1,N_HYPER2_shock_10,N_HYPER2_shock_11,N_HYPER2_shock_12,N_HYPER2_shock_7,N_HYPER2_shock_8,N_HYPER2_shock_9,N_HYPER3_instrbk_1,N_HYPER3_shock_13,N_HYPER3_shock_14,N_HYPER3_shock_15,N_HYPER3_shock_16,N_HYPER3_shock_17,N_HYPER3_shock_18,reg0,reg1,reg2,reg3,reg4,reg5,reg6,reg7,drift_1,drift_2,drift_3,drift_4,drift_5,drift_6,drift_7,drift_8,drift_9,drift_10,drift_11,drift_12,drift_13,drift_14,drift_15,drift_16,drift_17,drift_18,drift_19,drift_20,drift_21,drift_22,constant
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1109.9514,793.55434,0.07332290382832297,0.07332094279291716,0.07331767443942462,0.07331309882612036,0.0733072160345879,0.07330002616971788,0.07329152935970615,0.07328172575605146,0.07327061553355288,0.07325819889030648,0.07324447604770201,0.0732294472504188,0.07321311276642146,0.07319547288695513,0.07317652792654021,0.0731562782229668,0.0731347241372887,0.07311186605381692,0.07308770438011286,0.07306223954698104,0.0730354720084614,0.07300740224182121,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0021180768,-0.026216543,-0.012124353,-0.0004133599,-0.00012192968,0.00065098344,1110.0803,794.65101,0.07331767443942462,0.07330002616971788,0.07327061553355288,0.0732294472504188,0.07317652792654021,0.07311186605381692,0.0730354720084614,0.0729473580493336,0.07284753831597385,0.07273602882633394,0.07261284747420665,0.07247801402635445,0.07233155011933748,0.07217347925604155,0.07200382680190676,0.071822619980857,0.0716298878709315,0.07142566139961858,0.07120997333889284,0.07098285829995629,0.07074435272768424,0.07049449489477715,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0033295115,-0.023756369,0.0017198267,-0.0013865541,-8.6114043e-05,0.00079648482,1109.9171,794.14935,0.0733072160345879,0.07325819889030648,0.07317652792654021,0.07306223954698104,0.07291538469407875,0.07273602882633394,0.07252425188912087,0.07228014827905296,0.07200382680190676,0.07169541062412328,0.07135503721790837,0.07098285829995629,0.07057903976382417,0.07014376160598725,0.06967721784560801,0.06917961643805476,0.0686511791822085,0.06809214162159914,0.06750275293941528,0.06688327584743421,0.06623398646892194,0.06555517421555496,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014771085,-0.038072867,-0.022150327,-0.0011364472,0.00034602607,0.00052719637,1107.9045,792.09367,0.07329152935970615,0.07319547288695513,0.0730354720084614,0.07281166650282996,0.07252425188912087,0.07217347925604155,0.07175965504259277,0.07128314077036006,0.07074435272768424,0.07014376160598725,0.06948189208857061,0.06875932239224611,0.06797668376219895,0.06713465992052473,0.06623398646892194,0.06527545024606186,0.06425988864019729,0.06318818885761054,0.062061287147539855,0.060880167984261276,0.05964586320704066,0.05835945111870701,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027198687,-0.029184326,-0.044646552,0.00010565967,0.0011815152,0.00035872787,1108.5187,791.73872,0.07327061553355288,0.07311186605381692,0.07284753831597385,0.07247801402635445,0.07200382680190676,0.07142566139961858,0.07074435272768424,0.06996088463984323,0.06907638851463177,0.06809214162159914,0.06700956527684795,0.06583022279056185,0.06455581720948458,0.06318818885761054,0.06172931267863795,0.060181295384022594,0.05854637241075039,0.05682690469322192,0.05502537525391063,0.053144385617718004,0.05118665205520344,0.04915500166011418,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061067217,-0.0022207368,0.088348551,-0.00065331233,0.00068452481,0.0010895288,1109.4255,792.70186,0.07324447604770201,0.07300740224182121,0.07261284747420665,0.07206166282108284,0.07135503721790837,0.07049449489477715,0.06948189208857061,0.06831941303895321,0.06700956527684795,0.06555517421555496,0.06395937705618036,0.06222561602052186,0.06035763092600793,0.05835945111870701,0.056235386781807464,0.05399001963831668,0.05162819306803373,0.04915500166011418,0.046575780223762464,0.04389609228075648,0.04112171806462671,0.03825864205237615,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00031118839,0.0055935286,0.12632098,-0.0010845827,0.00031681468,0.0012353328,1106.5071,789.91818,0.07321311276642146,0.07288211125186948,0.07233155011933748,0.07156308795129317,0.07057903976382417,0.06938237003258033,0.06797668376219895,0.06636621562611668,0.06455581720948458,0.06255094239361755,0.06035763092600793,0.05798249022539905,0.0554326754767316,0.0527158680759273,0.049840252489445756,0.046814491598325694,0.043647700600987424,0.04034941955341528,0.03692958462944337,0.033398498187724106,0.0297667977355536,0.026045423883051422,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0064281405,0.011726426,0.12078687,-0.00077197037,0.0007000955,0.0010224553,1106.6003,789.02,0.07317652792654021,0.07273602882633394,0.07200382680190676,0.07098285829995629,0.06967721784560801,0.06809214162159914,0.06623398646892194,0.06411020439314279,0.061729312678637946,0.05910085973060057,0.056235386781807464,0.053144385617718,0.049840252489445756,0.0463362383994318,0.04264639595919566,0.03878552303228718,0.03476910338845568,0.03061324460703847,0.026334613478603476,0.02195036916391278,0.017478094378268944,0.012935724877224544,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00059513649,0.021919021,0.12448096,-0.001755166,0.00041728283,0.0012413507,1110.2951,793.86715,0.0731347241372887,0.07256919663886106,0.0716298878709315,0.07032163591963009,0.0686511791822085,0.06662712165966,0.06425988864019729,0.06156167300184853,0.0585463724107504,0.05522951773860978,0.05162819306803373,0.0477609476977551,0.04364770060098743,0.03930963782901438,0.03476910338845568,0.030049484154266778,0.025175089411249307,0.02017102564451657,0.015063067223829172,0.009877523647865271,0.004641104032209122,-0.0006192204609625361,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025185669,0.013983397,0.13915287,-0.001105424,0.0012121555,0.00099609915,1108.8499,792.31887,0.07308770438011286,0.07238166228248323,0.07120997333889284,0.06958017527704546,0.06750275293941528,0.06499107083199374,0.062061287147539855,0.05873224981644087,0.055025375253910644,0.050964510583571154,0.046575780223762464,0.041887417823524606,0.03692958462944337,0.03173417545184534,0.026334613478603493,0.02076563525656025,0.015063067223829156,0.009263595230590832,0.0034045285311056646,-0.002476440234766215,-0.008341477526447469,-0.014152852293970545,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
